mun_code,year,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12
1040,2021,99.32,38.65,30.9,100.72,146.54,166.52,199.6,104.81,91.66,94.47,131.84,56.49
1040,2022,4.26,17.16,46.5,108.25,159.44,143.78,138.17,138.83,84.35,108.7,48.37,68.75
1041,1991,70.17,26.66,277.25,97.58,158.43,70.73,47.92,54.43,151.34,147.42,36.17,24.4
1041,1992,58.46,32.47,43.96,130.83,127.56,325.58,113.74,75.07,172.18,239.57,45.49,55.22
1041,1993,21.03,13.83,163.72,247.52,104.53,130.23,73.29,96.02,255.17,185.66,108.53,34.01
1041,1994,136.2,131.49,22.59,132.69,184.92,111.82,55.77,74.23,377.13,111.93,239.22,36.02
1041,1995,44.88,65.61,17.67,225.08,151.95,188.43,84.25,88.15,159.08,32.57,88.93,96.86
1041,1996,163.25,115.47,92.24,98.4,105.96,91.56,94.76,156.74,97.71,253.49,173.14,164.98
1041,1997,102.52,13.28,7.01,30.39,53.33,217.86,119.41,112.23,28.82,48.28,109.86,100.96
1041,1998,43.38,37.31,24.65,152.86,177.47,100.62,84.81,77.62,70.18,135.24,21.26,27.37
1041,1999,102.32,16.42,73.97,83.73,268.54,152.97,61.17,127.24,156.46,149.55,114.54,55.66
1041,2000,9.67,12.29,62.76,207.01,82.95,107.69,100.93,130.98,146.86,350.47,188.44,75.39
1041,2001,72.72,63.12,146.87,55.1,192.6,58.54,143.16,126.3,79.5,123.05,59.37,18.96
1041,2002,27.03,163.02,60.13,93.04,266.82,209.23,145.91,244.44,116.82,102.13,231.37,94.52
1041,2003,30.74,29.45,15.52,90.94,51.08,72.93,61.63,52.46,49.05,77.19,163.67,162.23
1041,2004,95.76,131.21,48.25,149.4,132.13,73.3,75,78.76,64.67,167.2,107.79,69.44
1041,2005,14.2,17.71,48.93,160.21,90.72,88.86,67.36,124.71,184.82,119.29,48.08,50.07
1041,2006,83.4,60.4,63.76,65.77,74.2,54.55,50.83,80.98,290.75,63.52,67.32,51.36
1041,2007,46.05,36.48,81.18,51.43,173.08,160.67,43.4,143.66,60.44,79.6,61.19,29.83
1041,2008,90.13,30.47,47.99,115.99,245.59,114.8,148.49,68.83,131,52.62,226.71,264.94
1041,2009,95.41,53.42,109.48,316.02,78.84,100.12,74.11,114.47,120.17,87.38,96.44,107.87
1041,2010,87.46,99.79,136.43,69.36,212.5,262.33,88.84,178.9,97.45,151.68,227.85,91.51
1041,2011,33.95,72.54,213.67,32.88,60.16,194.01,178.39,68.69,110.26,46.31,257.16,32.23
1041,2012,69.57,29.75,68.06,153.62,194.71,103.41,155.84,118.32,123.47,72.1,189.42,36.94
1041,2013,41.9,62.64,162.01,177.45,281.24,105.7,93.19,106.36,75.14,142.21,122.11,91.26
1041,2014,107.81,118.59,93.89,80,118.71,154.75,254.1,144.63,107.9,105.29,249.82,86.42
1041,2015,58.64,146.48,144.47,122.23,171.28,137.61,63.94,128.46,137.39,141.29,12.81,16.26
1041,2016,37.55,133.7,114.34,108.45,171.69,139.02,103.41,117.5,87.4,121.45,321.81,57.68
1041,2017,18.54,74.24,129.44,98.46,95.08,166.82,83.2,64.52,72.94,7.37,67.85,78.27
1041,2018,216.98,100.77,141.66,170.76,193.13,133.26,137.76,49.99,91.04,218.4,249.67,22.88
1041,2019,11.47,34.72,22.8,147.79,115.5,114.84,185.73,96.26,108.29,177.26,313.58,115.53
1041,2020,21.76,11.57,103.85,99.23,148.72,162.08,94.42,131.16,94.3,130.61,18.34,74.12
1041,2021,97.58,54.55,29.6,102.15,139.49,102.7,130.82,81.58,62.92,76.69,159.5,32.87
1041,2022,3.03,10.02,41.08,98.09,146.71,111.33,82.85,106.64,70.41,133.9,53.37,72.26
1043,1991,71.7,36.62,331.47,97.29,115.9,131.67,50.71,68.99,161.05,182.82,34.48,45.25
1043,1992,49.82,33.52,62.51,152.91,112.52,325,104.99,118.2,274.56,279.51,45.79,62.04
1043,1993,18.49,10.46,138.33,242.71,113.68,156.03,150.06,128.79,467.48,254.76,105.37,42.91
1043,1994,160.95,141.07,28.47,135.61,229.12,91.65,57.53,129.9,468.16,126.39,392.6,38.56
1043,1995,48.76,70.16,26.46,283.65,210.53,177.47,89.55,94.2,206.48,39.43,93.85,94.8
1043,1996,177.13,91.58,88.52,69.42,181.08,123.29,125.34,188.56,83.68,260.19,225.32,159.68
1043,1997,106.68,24.31,10.58,34.21,80.56,314.03,142.57,102.26,28.96,44.35,124.22,114.14
1043,1998,50.17,48.31,31.73,219.23,223.65,129.19,124.53,89.89,145.51,138.09,26.86,19.45
1043,1999,118.02,25.58,114.56,96.4,267.25,190.47,53.6,189.58,257.21,179.3,125.8,57.78
1043,2000,10.74,16.22,78.75,240.38,102.17,93.02,189.98,150.21,193.07,530.1,237.54,78.25
1043,2001,76.99,76.77,163.21,57.9,202.22,138.87,213.22,147.18,99.41,188.11,51.38,19.48
1043,2002,25.61,174.11,61.77,93.26,362.23,221.69,146.48,226.56,141.9,110.56,300.5,73.78
1043,2003,31.27,28.4,14.41,96.6,65.61,75.02,102.94,101.05,45.15,72.31,196.64,196.71
1043,2004,93.61,139.82,57.49,165.84,148.35,81.78,99.08,136.15,62.35,234.17,175.98,75.43
1043,2005,25.24,17.14,56.32,169.41,115.93,120.16,111.78,146.91,198.36,110.86,55.37,35.46
1043,2006,80.6,75.1,72.11,81.88,126.5,95.15,56.4,117.74,271.36,107.78,57.6,84.42
1043,2007,66.37,42.27,84.95,41.58,242.79,222.63,77.2,202.79,92.13,80.8,74.1,21.92
1043,2008,105.03,31.48,55.85,152.64,233.92,158.25,196.91,91.66,202.06,81.61,291.3,259.19
1043,2009,90.21,93.72,140.88,374.86,103,158.24,116.27,118.54,121.39,64.7,101.83,111.99
1043,2010,79.99,91.33,135.32,75.97,285.42,210.33,93.37,219.86,106.21,164.83,258.22,118.37
1043,2011,32.66,78.01,204.68,35.01,71.23,260.36,243.99,102.23,103.54,47.08,323.38,36.91
1043,2012,71.56,22.91,68.1,194.67,234.16,138.49,212.85,230.13,96.59,82.51,237.61,41.03
1043,2013,35.38,72.98,156.01,224.46,359.9,122.46,110.72,123.24,113.38,151.16,149.06,121.2
1043,2014,123.05,163.88,121.44,85.3,132.44,173.99,227.67,270.11,74.86,153.29,374.49,87.34
1043,2015,65.93,130.74,133,134.59,179.46,140.28,68.42,136.92,183.99,163.81,20.28,9.4
1043,2016,43.55,145.23,118.02,140.94,192.28,178.28,124.42,136.91,67.46,130.42,326.69,60.8
1043,2017,14.16,66.91,172.05,99.45,118.43,189.66,101.64,129.63,98.48,11.47,59.82,76.73
1043,2018,259.42,80.04,151.24,190.13,208.39,135.57,122.1,54.36,101,244.18,294.57,33.99
1043,2019,14.62,39.65,29.68,201.24,125.26,148.94,124.16,135.33,102.07,257.66,373.02,139.85
1043,2020,18.42,17.3,94.26,88.33,145.78,158.13,66.18,111.85,45.92,222.76,17.27,79.5
1043,2021,109.46,55.98,30.54,92.64,174.33,89.94,157.67,103.83,86.39,122.06,136.16,33.47
1043,2022,7.06,13.19,35.82,101.31,110.57,119.33,67.53,57.18,74.72,167.62,52.28,76.89
1049,1991,70.11,28.02,287.72,108.99,174.41,67.47,68.49,77.98,167.22,149.45,42.1,20.74
1049,1992,66.78,32.22,42.06,135.71,163.58,370.98,140.86,112.61,161.79,241.76,48.27,59.35
1049,1993,17.07,15.58,168.82,280.64,146.27,143.21,93.94,98.88,238.72,196.68,108.31,31.19
1049,1994,139.75,133.27,24.04,144.23,208.82,151.08,84.93,80,349.11,119.35,210.56,35.66
1049,1995,45.07,61.63,17.88,231.8,140.82,220.8,132.06,123.6,158.23,35.69,88.6,103.97
1049,1996,165.9,121.81,92.11,110.73,109.18,105.16,106.21,191.22,122.11,275.6,183.33,171.68
1049,1997,111.71,10.46,5.54,28.67,68.52,240.11,152.28,159.35,50.95,50.34,115.56,105.76
1049,1998,43.6,38.01,24.59,149.57,196.08,126.11,91.01,102.81,67.44,137.52,24.1,32.12
1049,1999,103.77,18.22,72.02,103.56,294.48,172.02,109.68,143.75,155.08,158.73,114.39,61
1049,2000,10.02,11.32,68.45,230.51,120.18,144.88,108.98,133.63,161.83,352.63,188.52,79.25
1049,2001,79.29,67.06,148.81,55.35,220.82,69.01,179.17,152.42,79.93,122.78,66.63,19.91
1049,2002,24.81,157.93,67.74,103.06,301.99,254.49,160.63,252.1,124.53,102.53,235.64,102.35
1049,2003,33.21,34.13,19.05,104.76,66.46,117.24,90.31,61.88,65.29,90.39,172.46,163.98
