"iso","model","tas"
"IT-OG","CMCC-CM2-SR5",17.438426557057
"IT-OR","CMCC-CM2-SR5",19.0685171137126
"IT-OT","CMCC-CM2-SR5",18.5003611994617
"IT-PA","CMCC-CM2-SR5",18.4790358403157
"IT-PC","CMCC-CM2-SR5",16.1803231918932
"IT-PD","CMCC-CM2-SR5",18.747935475416
"IT-PE","CMCC-CM2-SR5",16.3008576287114
"IT-PG","CMCC-CM2-SR5",15.8679566936994
"IT-PI","CMCC-CM2-SR5",17.8476296444588
"IT-PN","CMCC-CM2-SR5",15.4958476977308
"IT-PO","CMCC-CM2-SR5",16.1300984680551
"IT-PR","CMCC-CM2-SR5",15.5293475584615
"IT-PT","CMCC-CM2-SR5",15.3069374410887
"IT-PU","CMCC-CM2-SR5",16.6347022932402
"IT-PV","CMCC-CM2-SR5",18.0233463627223
"IT-PZ","CMCC-CM2-SR5",15.8860204714606
"IT-RA","CMCC-CM2-SR5",18.0880957333468
"IT-RC","CMCC-CM2-SR5",17.8889384646651
"IT-RE","CMCC-CM2-SR5",16.2020639888366
"IT-RG","CMCC-CM2-SR5",19.6677865189535
"IT-RI","CMCC-CM2-SR5",14.2735725308828
"IT-RM","CMCC-CM2-SR5",18.30504806418
"IT-RN","CMCC-CM2-SR5",17.0037585269728
"IT-RO","CMCC-CM2-SR5",18.8585467682779
"IT-SA","CMCC-CM2-SR5",17.3458865421254
"IT-SI","CMCC-CM2-SR5",16.707635638954
"IT-SO","CMCC-CM2-SR5",6.54498715488785
"IT-SP","CMCC-CM2-SR5",16.0668647628095
"IT-SR","CMCC-CM2-SR5",20.3249769313505
"IT-SS","CMCC-CM2-SR5",18.5856175871645
"IT-SV","CMCC-CM2-SR5",15.5310850437035
"IT-TA","CMCC-CM2-SR5",19.4328257579853
"IT-TE","CMCC-CM2-SR5",15.7584122301759
"IT-TN","CMCC-CM2-SR5",9.17030225030308
"IT-TO","CMCC-CM2-SR5",12.5659782122637
"IT-TP","CMCC-CM2-SR5",20.4132808271198
"IT-TR","CMCC-CM2-SR5",16.9160114114007
"IT-TS","CMCC-CM2-SR5",17.2917026832323
"IT-TV","CMCC-CM2-SR5",17.8809344232385
"IT-UD","CMCC-CM2-SR5",14.4242687441307
"IT-VA","CMCC-CM2-SR5",16.9247968743717
"IT-VB","CMCC-CM2-SR5",9.85426428466637
"IT-VC","CMCC-CM2-SR5",14.9520720567314
"IT-VE","CMCC-CM2-SR5",18.5127805332158
"IT-VI","CMCC-CM2-SR5",15.5985307273739
"IT-VR","CMCC-CM2-SR5",17.6145384024715
"IT-VS","CMCC-CM2-SR5",19.4062520589269
"IT-VT","CMCC-CM2-SR5",17.9983615782456
"IT-VV","CMCC-CM2-SR5",17.0387382834052
"IT-AG","CNRM-ESM2-1",19.9870636841547
"IT-AL","CNRM-ESM2-1",16.847243637081
"IT-AN","CNRM-ESM2-1",17.7475059928688
"IT-AO","CNRM-ESM2-1",5.05670929825542
"IT-AP","CNRM-ESM2-1",15.4187166116224
"IT-AQ","CNRM-ESM2-1",11.9675188210832
"IT-AR","CNRM-ESM2-1",15.2470278747215
"IT-AT","CNRM-ESM2-1",17.1738590441287
"IT-AV","CNRM-ESM2-1",16.1656447645957
"IT-BA","CNRM-ESM2-1",18.5354175257575
"IT-BG","CNRM-ESM2-1",13.2414784913195
"IT-BI","CNRM-ESM2-1",14.3791974880777
"IT-BL","CNRM-ESM2-1",9.45190493166949
"IT-BN","CNRM-ESM2-1",17.0392415989226
"IT-BO","CNRM-ESM2-1",17.1330652122589
"IT-BR","CNRM-ESM2-1",19.4291903162136
"IT-BS","CNRM-ESM2-1",13.9962077454395
"IT-BT","CNRM-ESM2-1",19.312785244642
"IT-BZ","CNRM-ESM2-1",6.93908779859052
"IT-CA","CNRM-ESM2-1",19.3212320067416
"IT-CB","CNRM-ESM2-1",17.3286370989407
"IT-CE","CNRM-ESM2-1",18.4770365448888
"IT-CH","CNRM-ESM2-1",16.5401162339147
"IT-CI","CNRM-ESM2-1",19.1572886717972
"IT-CL","CNRM-ESM2-1",20.0379703990642
"IT-CN","CNRM-ESM2-1",12.5470032600011
"IT-CO","CNRM-ESM2-1",14.2247463435059
"IT-CR","CNRM-ESM2-1",18.6508924709422
"IT-CS","CNRM-ESM2-1",16.685731313324
"IT-CT","CNRM-ESM2-1",18.4072090786706
"IT-CZ","CNRM-ESM2-1",17.3191203313435
"IT-EN","CNRM-ESM2-1",19.0586311551972
"IT-FC","CNRM-ESM2-1",15.9808081528421
"IT-FE","CNRM-ESM2-1",18.6606866844998
"IT-FG","CNRM-ESM2-1",19.1509990139786
"IT-FI","CNRM-ESM2-1",16.1499558587017
"IT-FM","CNRM-ESM2-1",17.06039497766
"IT-FR","CNRM-ESM2-1",16.7528722859575
"IT-GE","CNRM-ESM2-1",14.5592018153691
"IT-GO","CNRM-ESM2-1",18.1485331926739
"IT-GR","CNRM-ESM2-1",17.7570297832076
"IT-IM","CNRM-ESM2-1",14.9372332598107
"IT-IS","CNRM-ESM2-1",14.3262490656122
"IT-KR","CNRM-ESM2-1",19.6432931168725
"IT-LC","CNRM-ESM2-1",13.7406204267477
"IT-LE","CNRM-ESM2-1",20.0751349934525
"IT-LI","CNRM-ESM2-1",18.6341977375919
"IT-LO","CNRM-ESM2-1",18.536929252718
"IT-LT","CNRM-ESM2-1",18.9922298598976
"IT-LU","CNRM-ESM2-1",15.1074525802231
"IT-MB","CNRM-ESM2-1",18.0879139874407
"IT-MC","CNRM-ESM2-1",15.6974961549836
"IT-ME","CNRM-ESM2-1",17.148520700067
"IT-MI","CNRM-ESM2-1",18.5941321077048
"IT-MN","CNRM-ESM2-1",18.9181550567155
"IT-MO","CNRM-ESM2-1",16.367769723024
"IT-MS","CNRM-ESM2-1",14.7871855146226
"IT-MT","CNRM-ESM2-1",19.331820258511
"IT-NA","CNRM-ESM2-1",19.9965945129795
"IT-NO","CNRM-ESM2-1",17.5781949186518
"IT-NU","CNRM-ESM2-1",17.7631038543975
"IT-OG","CNRM-ESM2-1",17.4624472085522
"IT-OR","CNRM-ESM2-1",19.0842861583439
"IT-OT","CNRM-ESM2-1",18.4942527456847
"IT-PA","CNRM-ESM2-1",18.4393888621988
"IT-PC","CNRM-ESM2-1",16.0949484636669
"IT-PD","CNRM-ESM2-1",18.6329228361037
"IT-PE","CNRM-ESM2-1",16.1692933107446
"IT-PG","CNRM-ESM2-1",15.7307788082822
"IT-PI","CNRM-ESM2-1",17.8022687497039
"IT-PN","CNRM-ESM2-1",15.369279493702
"IT-PO","CNRM-ESM2-1",16.0624839665219
"IT-PR","CNRM-ESM2-1",15.4639738446207
"IT-PT","CNRM-ESM2-1",15.2489910359082
"IT-PU","CNRM-ESM2-1",16.4982687366294
"IT-PV","CNRM-ESM2-1",17.9129175557812
"IT-PZ","CNRM-ESM2-1",15.7757800376507
"IT-RA","CNRM-ESM2-1",17.9907170384298
"IT-RC","CNRM-ESM2-1",17.8171522688512
"IT-RE","CNRM-ESM2-1",16.1464552351106
"IT-RG","CNRM-ESM2-1",19.6175701911083
"IT-RI","CNRM-ESM2-1",14.1351514226177
"IT-RM","CNRM-ESM2-1",18.1870311511845
"IT-RN","CNRM-ESM2-1",16.8768686328684
"IT-RO","CNRM-ESM2-1",18.7623725773923
"IT-SA","CNRM-ESM2-1",17.2425759082882
"IT-SI","CNRM-ESM2-1",16.6320296936453
"IT-SO","CNRM-ESM2-1",6.40732141779069
"IT-SP","CNRM-ESM2-1",16.0203468247617
"IT-SR","CNRM-ESM2-1",20.2730325783595
"IT-SS","CNRM-ESM2-1",18.5814710351204
"IT-SV","CNRM-ESM2-1",15.4564505940304
"IT-TA","CNRM-ESM2-1",19.3436086109977
"IT-TE","CNRM-ESM2-1",15.6295221524041
"IT-TN","CNRM-ESM2-1",9.05027721683615
"IT-TO","CNRM-ESM2-1",12.4293501010821
"IT-TP","CNRM-ESM2-1",20.392674937136
"IT-TR","CNRM-ESM2-1",16.7892033885657
"IT-TS","CNRM-ESM2-1",17.1379380741185
"IT-TV","CNRM-ESM2-1",17.7472052438782
"IT-UD","CNRM-ESM2-1",14.2981816012208
"IT-VA","CNRM-ESM2-1",16.7747743734221
"IT-VB","CNRM-ESM2-1",9.70752116450549
"IT-VC","CNRM-ESM2-1",14.811687441464
"IT-VE","CNRM-ESM2-1",18.3897020258418
"IT-VI","CNRM-ESM2-1",15.4729171170582
"IT-VR","CNRM-ESM2-1",17.5043845024018
"IT-VS","CNRM-ESM2-1",19.4257599563951
"IT-VT","CNRM-ESM2-1",17.8960159894377
"IT-VV","CNRM-ESM2-1",16.9673081222403
"IT-AG","EC-Earth3-Veg",20.0828224621571
"IT-AL","EC-Earth3-Veg",16.9367844638481
"IT-AN","EC-Earth3-Veg",17.8298607879487
"IT-AO","EC-Earth3-Veg",5.12034419235526
"IT-AP","EC-Earth3-Veg",15.4958892226326
"IT-AQ","EC-Earth3-Veg",12.0433035711972
"IT-AR","EC-Earth3-Veg",15.2948023041011
"IT-AT","EC-Earth3-Veg",17.2716719891591
"IT-AV","EC-Earth3-Veg",16.2598989327146
"IT-BA","EC-Earth3-Veg",18.6186486837562
"IT-BG","EC-Earth3-Veg",13.3425093025071
"IT-BI","EC-Earth3-Veg",14.4549149832579
"IT-BL","EC-Earth3-Veg",9.49686618709698
"IT-BN","EC-Earth3-Veg",17.1305554398665
"IT-BO","EC-Earth3-Veg",17.2108200924546
"IT-BR","EC-Earth3-Veg",19.4775379879204
"IT-BS","EC-Earth3-Veg",14.0923960768369
"IT-BT","EC-Earth3-Veg",19.4161430608668
"IT-BZ","EC-Earth3-Veg",7.00621933923645
"IT-CA","EC-Earth3-Veg",19.360724008957
"IT-CB","EC-Earth3-Veg",17.4334326826061
"IT-CE","EC-Earth3-Veg",18.5556182004893
"IT-CH","EC-Earth3-Veg",16.6338001937144
"IT-CI","EC-Earth3-Veg",19.1994358152503
"IT-CL","EC-Earth3-Veg",20.1390275643305
"IT-CN","EC-Earth3-Veg",12.6049840059651
"IT-CO","EC-Earth3-Veg",14.318409581628
"IT-CR","EC-Earth3-Veg",18.7487197061046
"IT-CS","EC-Earth3-Veg",16.7567401655255
"IT-CT","EC-Earth3-Veg",18.4914343467403
"IT-CZ","EC-Earth3-Veg",17.3682321331914
"IT-EN","EC-Earth3-Veg",19.1478439843629
"IT-FC","EC-Earth3-Veg",16.0566594085748
"IT-FE","EC-Earth3-Veg",18.7515291607992
"IT-FG","EC-Earth3-Veg",19.254270930391
"IT-FI","EC-Earth3-Veg",16.1955194903734
"IT-FM","EC-Earth3-Veg",17.1410154161584
"IT-FR","EC-Earth3-Veg",16.8236350737415
"IT-GE","EC-Earth3-Veg",14.6082499931648
"IT-GO","EC-Earth3-Veg",18.1882082627764
"IT-GR","EC-Earth3-Veg",17.7984162300984
"IT-IM","EC-Earth3-Veg",14.9521939130701
"IT-IS","EC-Earth3-Veg",14.416478931138
"IT-KR","EC-Earth3-Veg",19.6951063396568
"IT-LC","EC-Earth3-Veg",13.8392013120744
"IT-LE","EC-Earth3-Veg",20.1106924210994
"IT-LI","EC-Earth3-Veg",18.6680815735628
"IT-LO","EC-Earth3-Veg",18.6352964031281
"IT-LT","EC-Earth3-Veg",19.0572421779257
"IT-LU","EC-Earth3-Veg",15.1388674238264
"IT-MB","EC-Earth3-Veg",18.1886883045333
"IT-MC","EC-Earth3-Veg",15.7763123616703
"IT-ME","EC-Earth3-Veg",17.2150358684212
"IT-MI","EC-Earth3-Veg",18.6910384372921
"IT-MN","EC-Earth3-Veg",19.0048998497514
"IT-MO","EC-Earth3-Veg",16.4316796796669
"IT-MS","EC-Earth3-Veg",14.8197679289822
"IT-MT","EC-Earth3-Veg",19.4187959638655
"IT-NA","EC-Earth3-Veg",20.0672094636964
"IT-NO","EC-Earth3-Veg",17.6622049595446
"IT-NU","EC-Earth3-Veg",17.7726860371394
"IT-OG","EC-Earth3-Veg",17.4831759272686
"IT-OR","EC-Earth3-Veg",19.0942394155286
"IT-OT","EC-Earth3-Veg",18.4968488659133
"IT-PA","EC-Earth3-Veg",18.5249584665211
"IT-PC","EC-Earth3-Veg",16.1736551157316
"IT-PD","EC-Earth3-Veg",18.7199007903631
"IT-PE","EC-Earth3-Veg",16.2541261019872
"IT-PG","EC-Earth3-Veg",15.778069716862
