"iso","model","tas"
"IT-SR","CMCC-CM2-SR5",18.3650115564748
"IT-SS","CMCC-CM2-SR5",16.4147612616255
"IT-SV","CMCC-CM2-SR5",12.3288796327213
"IT-TA","CMCC-CM2-SR5",16.6512866914055
"IT-TE","CMCC-CM2-SR5",12.8185555429655
"IT-TN","CMCC-CM2-SR5",5.47066156580028
"IT-TO","CMCC-CM2-SR5",8.44810302515087
"IT-TP","CMCC-CM2-SR5",18.8788658847849
"IT-TR","CMCC-CM2-SR5",13.5228285241207
"IT-TS","CMCC-CM2-SR5",13.5807320259052
"IT-TV","CMCC-CM2-SR5",13.0273583524478
"IT-UD","CMCC-CM2-SR5",10.2901179873091
"IT-VA","CMCC-CM2-SR5",12.0136089093711
"IT-VB","CMCC-CM2-SR5",6.20457617199399
"IT-VC","CMCC-CM2-SR5",10.4136975862886
"IT-VE","CMCC-CM2-SR5",13.862829838277
"IT-VI","CMCC-CM2-SR5",11.1788147792999
"IT-VR","CMCC-CM2-SR5",12.935993466727
"IT-VS","CMCC-CM2-SR5",17.2604256356292
"IT-VT","CMCC-CM2-SR5",14.7414885399419
"IT-VV","CMCC-CM2-SR5",15.5517142859569
"IT-AG","CNRM-ESM2-1",17.2894621664943
"IT-AL","CNRM-ESM2-1",12.2989832481214
"IT-AN","CNRM-ESM2-1",14.247200552234
"IT-AO","CNRM-ESM2-1",1.65308209312054
"IT-AP","CNRM-ESM2-1",12.2300898096325
"IT-AQ","CNRM-ESM2-1",8.92675485479216
"IT-AR","CNRM-ESM2-1",11.8502989963575
"IT-AT","CNRM-ESM2-1",12.4822178855116
"IT-AV","CNRM-ESM2-1",13.3256683351735
"IT-BA","CNRM-ESM2-1",15.720891887364
"IT-BG","CNRM-ESM2-1",9.2187867537631
"IT-BI","CNRM-ESM2-1",10.142352727863
"IT-BL","CNRM-ESM2-1",5.61806229490734
"IT-BN","CNRM-ESM2-1",13.8727132884212
"IT-BO","CNRM-ESM2-1",12.7331223446123
"IT-BR","CNRM-ESM2-1",16.7270856086317
"IT-BS","CNRM-ESM2-1",9.82658943450742
"IT-BT","CNRM-ESM2-1",16.4809625748307
"IT-BZ","CNRM-ESM2-1",3.04845129626855
"IT-CA","CNRM-ESM2-1",16.285030421348
"IT-CB","CNRM-ESM2-1",14.3097248060539
"IT-CE","CNRM-ESM2-1",15.2467325658246
"IT-CH","CNRM-ESM2-1",13.5662130725627
"IT-CI","CNRM-ESM2-1",16.5266941248144
"IT-CL","CNRM-ESM2-1",17.1298903197451
"IT-CN","CNRM-ESM2-1",8.35657166600342
"IT-CO","CNRM-ESM2-1",10.2260906307337
"IT-CR","CNRM-ESM2-1",13.6396701149567
"IT-CS","CNRM-ESM2-1",14.3456236730506
"IT-CT","CNRM-ESM2-1",15.7515536541541
